Number.of.Bags,altitude_mean_meters,Moisture,Category.One.Defects,Category.Two.Defects,Quakers,Country.of.Origin,Variety,Processing.Method,Color,species,especialidad
1,800.0,0.12,0,0,0.0,Thailand,,Washed / Wet,Green,arabica,0
10,350.0,0.09,31,0,0.0,Taiwan,Caturra,Natural / Dry,Green,arabica,1
275,1450.0,0.13,0,1,0.0,Honduras,Catuai,Natural / Dry,Green,arabica,1
10,1100.0,0.11,0,0,0.0,Brazil,Bourbon,Natural / Dry,Blue-Green,arabica,1
12,,0.12,7,10,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,Blue-Green,arabica,0
1,,0.1,0,4,0.0,Guatemala,,Washed / Wet,Green,arabica,1
10,800.0,0.12,4,24,0.0,Mexico,Mundo Novo,Washed / Wet,Green,arabica,0
320,1600.0,0.1,1,18,0.0,Ethiopia,,Natural / Dry,,arabica,1
250,1500.0,0.12,0,1,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
275,1600.0,0.08,1,5,0.0,Colombia,,,,arabica,1
320,934.0,0.11,0,7,2.0,Brazil,Bourbon,Natural / Dry,Green,arabica,1
25,1219.2,0.1,0,1,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
10,1170.0,0.13,0,9,0.0,Mexico,Bourbon,Washed / Wet,Green,arabica,1
10,1400.0,0.13,0,0,0.0,"Tanzania, United Republic Of",Other,Washed / Wet,Green,arabica,1
320,1095.0,0.12,0,1,0.0,Uganda,,,Green,robusta,1
29,1300.0,0.12,0,2,0.0,Brazil,Bourbon,Natural / Dry,Green,arabica,1
3,1450.0,0.1,0,0,0.0,China,Catimor,Washed / Wet,Green,arabica,1
33,1100.0,0.12,0,2,0.0,Brazil,Catuai,Semi-washed / Semi-pulped,Blue-Green,arabica,1
275,1330.0,0.11,0,0,0.0,El Salvador,Bourbon,Washed / Wet,,arabica,1
250,1700.0,0.11,0,2,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
275,1400.0,0.11,0,5,0.0,Honduras,Caturra,Washed / Wet,Green,arabica,1
1,1600.0,0.12,0,3,0.0,"Tanzania, United Republic Of",Other,Washed / Wet,Green,arabica,1
2,,0.0,0,0,0.0,Thailand,,,,arabica,1
50,1600.0,0.11,0,0,0.0,Mexico,Typica,Washed / Wet,Blue-Green,arabica,1
250,1250.0,0.12,0,4,0.0,Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,Bluish-Green,arabica,1
275,1752.6,0.11,0,4,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
35,900.0,0.11,0,0,0.0,Taiwan,Typica,Washed / Wet,,arabica,1
50,,0.1,0,4,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
123,180.0,0.12,0,2,0.0,Taiwan,Typica,Natural / Dry,Green,arabica,1
250,,0.0,0,2,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
7,,0.1,0,4,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,Bluish-Green,arabica,1
50,1000.0,0.12,0,1,0.0,Brazil,Mundo Novo,Natural / Dry,Green,arabica,1
40,,0.05,3,0,0.0,United States (Hawaii),,,,arabica,0
150,1650.0,0.0,0,0,0.0,Kenya,SL28,Washed / Wet,Bluish-Green,arabica,1
250,1300.0,0.12,0,3,0.0,Costa Rica,Caturra,Washed / Wet,Green,arabica,1
250,1600.0,0.0,0,0,0.0,Colombia,Caturra,Natural / Dry,Green,arabica,1
100,1800.0,0.1,0,2,0.0,Kenya,Peaberry,Washed / Wet,Bluish-Green,arabica,1
310,1400.0,0.12,0,6,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
10,250.0,0.11,0,0,0.0,Taiwan,Typica,Semi-washed / Semi-pulped,Green,arabica,1
150,1950.0,0.12,0,5,0.0,Uganda,SL14,Washed / Wet,Green,arabica,1
250,1550.0,0.12,4,16,0.0,Mexico,Caturra,Washed / Wet,Green,arabica,1
1,1706.88,0.0,0,0,0.0,United States,Pache Comun,Natural / Dry,,arabica,1
275,1800.0,0.12,1,0,0.0,Colombia,Other,Washed / Wet,Green,arabica,1
250,1750.0,0.11,0,0,0.0,Colombia,Caturra,Natural / Dry,Green,arabica,1
320,890.0,0.11,0,5,0.0,Brazil,Bourbon,Natural / Dry,Green,arabica,1
250,1524.0,0.1,0,0,0.0,Guatemala,Caturra,Washed / Wet,Green,arabica,1
250,1000.0,0.11,0,1,0.0,Colombia,Caturra,Natural / Dry,Green,arabica,1
100,1680.0,0.09,2,2,0.0,Panama,Caturra,Natural / Dry,,arabica,1
300,1100.0,0.11,0,14,0.0,Brazil,Catuai,Natural / Dry,Green,arabica,1
320,,0.0,2,0,0.0,Brazil,,,,arabica,1
180,1653.0,0.13,0,6,0.0,"Tanzania, United Republic Of",Other,Washed / Wet,Bluish-Green,arabica,1
250,1800.0,0.13,3,13,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
275,1219.2,0.11,0,3,0.0,Guatemala,Other,Washed / Wet,Green,arabica,1
230,944.0,0.11,0,3,2.0,Brazil,Bourbon,Natural / Dry,Green,arabica,1
10,,0.12,5,7,0.0,United States (Hawaii),Hawaiian Kona,Washed / Wet,Green,arabica,1
250,1200.0,0.11,5,8,0.0,Mexico,Bourbon,Washed / Wet,Green,arabica,1
320,890.0,0.0,0,3,0.0,Brazil,Bourbon,Natural / Dry,Green,arabica,0
320,1900.0,0.1,0,4,0.0,Ethiopia,,Washed / Wet,Green,arabica,1
275,1550.0,0.11,0,3,0.0,Guatemala,Catuai,Washed / Wet,Green,arabica,1
250,1500.0,0.11,0,2,0.0,Mexico,Typica,Washed / Wet,,arabica,1
20,1200.0,0.12,0,0,0.0,Thailand,Catimor,Natural / Dry,Green,arabica,1
320,890.0,0.0,0,3,0.0,Brazil,Bourbon,Natural / Dry,Green,arabica,1
320,1600.0,0.12,0,1,0.0,Uganda,SL14,Washed / Wet,Green,arabica,1
250,1200.0,0.12,0,0,0.0,Mexico,Typica,Washed / Wet,,arabica,1
200,1000.0,0.12,0,4,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
275,1799.0,0.0,0,4,1.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
300,1250.0,0.12,0,0,0.0,Brazil,Bourbon,Semi-washed / Semi-pulped,Bluish-Green,arabica,1
275,1300.0,0.09,0,0,0.0,Costa Rica,Caturra,Washed / Wet,Green,arabica,1
250,,0.11,0,2,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
6,,0.1,0,0,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,Green,arabica,1
275,1800.0,0.11,0,8,0.0,Guatemala,Caturra,Washed / Wet,Green,arabica,1
320,1600.0,0.11,0,1,0.0,Uganda,Other,Washed / Wet,Green,arabica,1
450,1300.0,0.12,0,6,0.0,Mexico,Bourbon,Washed / Wet,Green,arabica,1
275,1750.0,0.11,0,1,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
305,1020.0,0.11,0,4,0.0,Brazil,Catuai,Natural / Dry,Green,arabica,1
7,1700.0,0.12,0,1,0.0,Papua New Guinea,,Washed / Wet,Bluish-Green,arabica,1
10,1100.0,0.13,0,0,0.0,Malawi,Gesha,Washed / Wet,Green,arabica,1
10,350.0,0.0,0,0,0.0,Taiwan,Typica,Natural / Dry,Green,arabica,1
11,1261.0,0.12,0,2,0.0,Mexico,Typica,Natural / Dry,Bluish-Green,arabica,1
7,,0.12,2,3,0.0,United States (Hawaii),Hawaiian Kona,Washed / Wet,Green,arabica,1
320,1400.0,0.12,0,0,0.0,Uganda,Bourbon,Natural / Dry,Green,arabica,1
320,1212.0,0.12,0,7,0.0,Uganda,,,Green,robusta,1
275,1550.0,0.11,0,7,0.0,Guatemala,Catuai,Washed / Wet,Green,arabica,1
275,,0.0,1,0,0.0,Colombia,,Washed / Wet,,arabica,1
8,525.0,0.0,0,1,0.0,Taiwan,Typica,Washed / Wet,Green,arabica,1
15,750.0,0.11,0,20,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
20,1150.0,0.13,0,2,0.0,Mexico,Caturra,Washed / Wet,,arabica,0
250,1219.2,0.1,0,5,2.0,Guatemala,Bourbon,Washed / Wet,Bluish-Green,arabica,1
10,1300.0,0.14,1,17,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
30,1200.0,0.11,0,2,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
29,1442.0,0.12,0,0,0.0,Malawi,Gesha,Washed / Wet,Bluish-Green,arabica,1
250,1219.2,0.1,0,1,0.0,Guatemala,Bourbon,Natural / Dry,Green,arabica,1
275,1706.88,0.12,0,7,0.0,Guatemala,Caturra,Washed / Wet,Green,arabica,1
10,1100.0,0.13,0,14,0.0,Mexico,Typica,Washed / Wet,Green,arabica,0
320,,0.0,0,1,0.0,Brazil,,Natural / Dry,Green,arabica,1
25,1219.2,0.1,0,2,1.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
1062,1100.0,0.09,2,10,6.0,Brazil,Catuai,Washed / Wet,Green,arabica,1
40,1800.0,0.0,4,4,0.0,Colombia,Typica,Natural / Dry,Green,arabica,1
84,,0.12,0,1,0.0,Brazil,Arusha,Natural / Dry,Green,arabica,1
50,600.0,0.1,0,0,0.0,Taiwan,Typica,Washed / Wet,Blue-Green,arabica,0
320,1800.0,0.11,3,1,11.0,Ethiopia,Gesha,Natural / Dry,Green,arabica,1
50,1700.0,0.13,0,1,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
20,1200.0,0.13,1,3,0.0,Mexico,Caturra,Washed / Wet,Green,arabica,0
300,1800.0,0.12,0,1,0.0,"Tanzania, United Republic Of",Bourbon,Washed / Wet,Green,arabica,1
275,1390.8024,0.11,0,2,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
200,1300.0,0.12,0,6,0.0,Mexico,Bourbon,Washed / Wet,Green,arabica,1
226,,0.0,1,5,3.0,Colombia,,,,arabica,1
30,,0.02,3,12,0.0,United States (Hawaii),,,,arabica,1
6,1050.0,0.11,0,0,5.0,Taiwan,Typica,Pulped natural / honey,Green,arabica,1
50,1219.2,0.1,0,1,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
20,1250.0,0.12,0,12,0.0,Mexico,Bourbon,Washed / Wet,Green,arabica,0
300,,0.1,0,3,0.0,Ethiopia,,,,arabica,1
1,200.0,0.11,0,0,0.0,Taiwan,,,Blue-Green,arabica,1
38,1580.0,0.0,0,5,0.0,Kenya,SL34,Washed / Wet,Green,arabica,1
11,1059.0,0.13,0,3,0.0,Mexico,Typica,Natural / Dry,Blue-Green,arabica,1
320,1775.0,0.1,0,3,0.0,Ethiopia,,Natural / Dry,Green,arabica,1
320,934.0,0.11,0,5,1.0,Brazil,Bourbon,Natural / Dry,Green,arabica,1
3,1250.0,0.12,0,2,0.0,Brazil,Bourbon,Natural / Dry,Green,arabica,1
48,1100.0,0.12,4,11,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
250,1750.0,0.0,0,1,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
1,1100.0,0.1,0,4,2.0,Nicaragua,Caturra,Other,Green,arabica,0
320,1.0,0.0,0,1,0.0,Brazil,Yellow Bourbon,Natural / Dry,Green,arabica,1
300,1600.0,0.12,0,1,0.0,"Tanzania, United Republic Of",Other,Washed / Wet,Green,arabica,1
2,,0.07,0,0,0.0,Nicaragua,Caturra,,,arabica,1
200,1300.0,0.11,0,5,0.0,Mexico,Mundo Novo,Washed / Wet,Green,arabica,1
320,1775.0,0.11,0,3,0.0,Uganda,Other,Washed / Wet,Blue-Green,arabica,1
310,1473.0,0.12,0,6,0.0,Uganda,Bourbon,Washed / Wet,Green,arabica,1
10,1350.0,0.12,0,0,0.0,Mexico,Bourbon,Washed / Wet,,arabica,0
250,1625.0,0.0,0,4,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
11,,0.12,5,8,0.0,United States (Hawaii),,Natural / Dry,Green,arabica,0
30,950.0,0.14,0,23,0.0,Mexico,Typica,Washed / Wet,,arabica,0
275,1350.0,0.11,0,12,0.0,Honduras,Pacas,Washed / Wet,Green,arabica,0
310,1400.0,0.12,0,6,0.0,Mexico,Typica,Washed / Wet,Green,arabica,0
300,,0.11,0,3,2.0,Brazil,Yellow Bourbon,Pulped natural / honey,Bluish-Green,arabica,1
550,1100.0,0.13,1,5,0.0,Nicaragua,Caturra,Other,Green,arabica,0
250,1219.2,0.1,0,1,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
50,1700.0,0.11,0,1,1.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
235,2000.0,0.11,0,0,0.0,Kenya,SL28,Washed / Wet,Blue-Green,arabica,1
275,1219.2,0.1,1,2,0.0,Guatemala,Other,Washed / Wet,Green,arabica,0
149,,0.18,0,2,0.0,Colombia,,,,arabica,1
10,650.0,0.11,0,0,0.0,Taiwan,Typica,Semi-washed / Semi-pulped,Green,arabica,1
275,1100.0,0.1,0,4,0.0,Nicaragua,Catuai,Washed / Wet,Green,arabica,1
150,1338.0,0.12,0,4,0.0,Mexico,Mundo Novo,Washed / Wet,Blue-Green,arabica,1
275,1850.0,0.0,0,0,0.0,Costa Rica,Caturra,Washed / Wet,Blue-Green,arabica,1
275,1500.0,0.1,0,4,0.0,Guatemala,Caturra,Washed / Wet,Green,arabica,1
36,1100.0,0.12,0,8,0.0,Mexico,Other,Washed / Wet,,arabica,0
80,1200.0,0.13,0,3,0.0,Mexico,Typica,Washed / Wet,,arabica,1
275,1350.0,0.09,0,2,0.0,Honduras,Catuai,Washed / Wet,Green,arabica,1
243,,0.0,1,2,6.0,Colombia,Caturra,Washed / Wet,,arabica,1
250,1300.0,0.1,0,4,0.0,Costa Rica,Catuai,Washed / Wet,Green,arabica,1
400,1300.0,0.12,0,4,0.0,Mexico,Bourbon,Washed / Wet,Green,arabica,0
440,,0.11,0,6,1.0,Brazil,,Natural / Dry,Green,arabica,0
3,1600.0,0.1,0,3,0.0,China,Catimor,Washed / Wet,Green,arabica,1
250,1402.08,0.0,3,12,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
275,,0.11,0,3,2.0,Guatemala,Caturra,Washed / Wet,Green,arabica,1
250,1750.0,0.11,0,0,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
250,1050.0,0.1,1,22,0.0,Mexico,Typica,Washed / Wet,Green,arabica,0
250,1310.64,0.11,0,8,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,0
320,,0.12,1,2,0.0,Peru,,Washed / Wet,Green,arabica,0
200,1700.0,0.11,0,0,0.0,Kenya,SL28,Washed / Wet,Bluish-Green,arabica,1
275,1500.0,0.11,0,2,1.0,Honduras,Catuai,Washed / Wet,Green,arabica,1
250,1310.64,0.11,0,4,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
