Number.of.Bags,altitude_mean_meters,Moisture,Category.One.Defects,Category.Two.Defects,Quakers,Country.of.Origin,Variety,Processing.Method,Color,species,especialidad
10,1100.0,0.12,0,5,0.0,Mexico,Typica,Washed / Wet,Green,arabica,1
250,1800.0,0.13,3,7,0.0,Mexico,Typica,Natural / Dry,Green,arabica,1
15,1250.0,0.12,0,10,0.0,Mexico,Typica,Semi-washed / Semi-pulped,Green,arabica,1
250,1800.0,0.11,0,6,0.0,Colombia,Caturra,Washed / Wet,Green,arabica,1
10,1100.0,0.11,0,45,0.0,Mexico,Mundo Novo,Washed / Wet,Green,arabica,0
250,1450.0,0.11,3,5,0.0,Colombia,Other,Washed / Wet,Green,arabica,1
30,1650.0,0.13,1,6,0.0,"Tanzania, United Republic Of",Bourbon,Washed / Wet,Green,arabica,1
10,968.0,0.1,0,4,0.0,Taiwan,Typica,Washed / Wet,Bluish-Green,arabica,1
300,,0.12,0,0,0.0,Brazil,Mundo Novo,Natural / Dry,Green,arabica,1
23,,0.0,0,0,0.0,United States (Hawaii),,,,arabica,1
300,,0.12,0,1,0.0,Brazil,Mundo Novo,Natural / Dry,Green,arabica,1
300,1100.0,0.11,0,2,0.0,Brazil,Catuai,Natural / Dry,Green,arabica,1
275,1356.6648,0.1,0,0,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,1
25,1000.0,0.12,0,3,0.0,Brazil,Mundo Novo,Semi-washed / Semi-pulped,Blue-Green,arabica,1
285,1400.0,0.1,0,2,0.0,Honduras,Caturra,Washed / Wet,Green,arabica,1
250,1650.0,0.0,2,0,0.0,Colombia,Caturra,Washed / Wet,,arabica,1
1,4287.0,0.0,0,1,0.0,Myanmar,Catuai,Natural / Dry,Green,arabica,1
3,,0.0,1,2,0.0,United States (Hawaii),Hawaiian Kona,Natural / Dry,Blue-Green,arabica,0
12,1754.0,0.11,0,2,0.0,Kenya,SL28,Natural / Dry,Bluish-Green,arabica,1
250,1310.64,0.12,1,8,0.0,Guatemala,Bourbon,Washed / Wet,Green,arabica,0
9,,0.12,1,5,0.0,United States (Hawaii),,Natural / Dry,Green,arabica,0
320,905.0,0.11,0,2,2.0,Brazil,Yellow Bourbon,Pulped natural / honey,Bluish-Green,arabica,1
50,1750.0,0.12,0,0,0.0,Costa Rica,Caturra,Washed / Wet,Green,arabica,1
160,,0.0,0,1,0.0,Taiwan,Typica,Other,Green,arabica,1
21,1200.0,0.12,1,4,0.0,Mexico,Typica,Natural / Dry,,arabica,1
13,1300.0,0.15,0,0,0.0,Mexico,Typica,Washed / Wet,,arabica,1
